Te_Subseus,Entitat,Titularitat,Tipus_Equipament,Id_Seu_Principal,Es_subseu_de,Notes_Equipament,Nom_Districte,Id_Equipament,Es_seu_principal,Nom_Barri,Codi_Districte,Nom_Equipament,Codi_Barri,Latitud,_id,Longitud
NO,Profedia Central,Titularitat privada,Sales de música en viu,,,,Ciutat Vella,396,1,"Sant Pere, Santa Caterina i la Ribera",1,Diobar,4,41.3855443,164,2.185382
NO,Centre Cultural Euskal Etxea Barcelona,Titularitat privada,Sales de música en viu,,,,Ciutat Vella,397,1,"Sant Pere, Santa Caterina i la Ribera",1,Euskal Etxea,4,41.3845051,177,2.1819542
NO,Institut de Cultura. Ajuntament de Barcelona,Ajuntament de Barcelona,Centres d'exposicions,,,,Sant Andreu,226,1,Sant Andreu,9,Fabra i Coats - Centre d'Art Contemporani,60,41.433762956,178,2.190815632
SI,Institut de Cultura. Ajuntament de Barcelona,Ajuntament de Barcelona,Centres d'exposicions,,,"2/12/2008: el Museu de les Arts Decoratives, el Museu Tèxtil i el Museu de Ceràmica es van constituir com el nou Disseny Hub Barcelona; 2009-2012: el Disseny Hub Barcelona va desenvolupar la seva activitat a les seus del carrer Montcada i del Palau de Pedralbes; 2012: les seus de Montcada i Pedralbes van tancar per preparar trasllat a un nou edifici a la plaça de les Glòries; 13/12/2014: s'inaugura el Disseny Hub Barcelona - Museu del Disseny al nou edifici de la plaça de les Glòries; 2024: el DHub es posiciona com el centre neuràlgic del disseny, l¿arquitectura, l¿audiovisual, la tecnologia, el videojoc i la innovació i és la seu del Museu del Disseny de Barcelona.",Sant Martí,4,1,el Parc i la Llacuna del Poblenou,10,Disseny Hub Barcelona. DHub,66,41.4025295461622,165,2.1880652060461467
NO,"Eixample Teatre, Magiajunior-83",Titularitat privada,Sales d'arts escèniques,,,,Eixample,125,1,l'Antiga Esquerra de l'Eixample,2,Eixample Teatre,8,41.385343,166,2.155808
NO,Institut de Cultura. Ajuntament de Barcelona,Ajuntament de Barcelona,Museus i col·leccions,,,,Ciutat Vella,238,1,"Sant Pere, Santa Caterina i la Ribera",1,El Born Centre de Cultura i Memòria,4,41.385641483,167,2.183568044
NO,Marfúrius,Titularitat privada,Sales d'arts escèniques,,,,Ciutat Vella,140,1,el Barri Gòtic,1,El Maldà,2,41.383570271,168,2.173149870
NO,Barcelona Events Musicals,Ajuntament de Barcelona,Sales de música en viu,,,,Sants-Montjuïc,124,1,el Poble Sec,3,El Molino,11,41.374517759963254,169,2.167227381695062
NO,FESVI,Titularitat privada,Sales de música en viu,,,,Ciutat Vella,443,1,el Barri Gòtic,1,El Paraigua,2,41.3819109,170,2.1767686
NO,Gesteatral del Vallès,Titularitat privada,Sales d'arts escèniques,,,,Sants-Montjuïc,135,1,el Poble Sec,3,El Victòria,11,41.374778065,171,2.169244522
NO,Ajuntament de Barcelona,Ajuntament de Barcelona,Cases de la Festa,,,,Gràcia,462,1,la Vila de Gràcia,6,Espai Albert Musons,31,41.406272949756136,172,2.156592268505591
NO,Ajuntament de Barcelona,Ajuntament de Barcelona,Museus i col·leccions,,,,Sants-Montjuïc,386,1,el Poble Sec,3,Espai Bombers Parc de la Prevenció,11,41.373639,173,2.1543788
NO,Assoc. Cultural Salvadiscos,Titularitat privada,Sales de música en viu,,,,Sants-Montjuïc,482,1,el Poble Sec,3,Espai Salvadiscos,11,41.37373,174,2.15617
NO,Cinema Illa Mesina SL i Teatre Texas SL,Titularitat privada,Cinemes,,,El 2023 va tornar a obrir aquest espai amb dues sales de cinema i una nova sala teatral de 200 localitats.,Gràcia,383,1,la Vila de Gràcia,6,Espai Texas,31,41.402039,175,2.163669
NO,Fundació Vila Casas,Titularitat privada,Centres d'exposicions,,,,Eixample,231,1,la Dreta de l'Eixample,2,Espais VolART i VolART2. Fundació Vila Casas,7,41.390963134,176,2.175293998
NO,Institut de Cultura. Ajuntament de Barcelona,Ajuntament de Barcelona,Fàbriques de Creació,,,,Sant Andreu,303,1,Sant Andreu,9,Fabra i Coats - Fàbrica de Creació,60,41.433558800,179,2.191379525
NO,Institut Català de les Empreses Culturals (ICEC). Generalitat de Catalunya,Altres administracions públiques,Cinemes,,,,Ciutat Vella,363,1,el Raval,1,Filmoteca de Catalunya,1,41.3784206,180,2.1712328
NO,Assoc. Foment Hortenc,Titularitat privada,Ateneus,,,,Horta-Guinardó,420,1,Horta,7,Foment Hortenc,43,41.4309732,181,2.1594603999999435
NO,Assoc. Foment Martinenc,Titularitat privada,Ateneus,,,,Sant Martí,421,1,el Camp de l'Arpa del Clot,10,Foment Martinenc,64,41.4104593,182,2.182719499999962
NO,Assoc. Cultural Freedonia,Titularitat privada,Sales de música en viu,,,,Ciutat Vella,432,1,el Raval,1,Freedonia,1,41.3772894,183,2.1670145
NO,Fundació Foto Colectània,Titularitat privada,Museus i col·leccions,,,,Ciutat Vella,232,1,"Sant Pere, Santa Caterina i la Ribera",1,Fundació Foto Colectania,4,41.3876349,184,2.1827391
NO,Fundació Fran Daurel,Titularitat privada,Museus i col·leccions,,,,Sants-Montjuïc,38,1,el Poble Sec,3,Fundació Fran Daurel,11,41.368986024213875,185,2.147697935147927
NO,Fundació Joan Brossa,Ajuntament de Barcelona,Fàbriques de Creació,,,,Ciutat Vella,307,1,"Sant Pere, Santa Caterina i la Ribera",1,Fundació Joan Brossa - Centre de les Arts Lliures,4,41.385217359,186,2.182361375
NO,Fundació Joan Miró,Consorci o fundació amb presència administracions públiques,Museus i col·leccions,,,,Sants-Montjuïc,29,1,el Poble Sec,3,Fundació Joan Miró,11,41.36863,187,2.159851
