addresses_neighborhood_id,addresses_neighborhood_name,name,created,modified
66,el Parc i la Llacuna del Poblenou,Torre Glòries,2004-03-19T09:40:20,2022-09-19T07:39:41.767633
43,Horta,Unió de Botiguers del Cor d'Horta,2017-02-02T14:12:30,2024-10-29T12:41:40.636666
7,la Dreta de l'Eixample,Casa Vallet i Xiró,2015-07-07T13:28:12,2022-09-17T08:22:15.105786
23,Sarrià,El carrer de Canet,2015-07-07T14:56:10,2021-09-09T02:15:15.270128
25,Sant Gervasi - la Bonanova,Dipòsit del Rei Martí,2015-07-08T08:53:52,2021-09-09T02:15:14.598004
42,la Clota,El barri de la Clota,2015-07-08T13:55:31,2021-09-09T02:15:29.366888
60,Sant Andreu,La Previsió Obrera,2017-02-10T13:54:50,2021-09-09T02:17:09.184581
21,Pedralbes,Universitat Politècnica de Catalunya,1985-12-17T00:00:00,2024-10-29T09:49:41.922970
61,la Sagrera,Refugi Antiaeri de la Sagrera,2017-02-10T14:22:14,2024-08-07T13:25:20.951292
62,el Congrés i els Indians,Carrer Campo Florido,2017-02-13T10:14:02,2021-09-09T02:17:10.022892
60,Sant Andreu,Carrer Coroleu,2017-02-13T10:25:04,2021-09-09T02:17:11.860707
60,Sant Andreu,Carrer Grau,2017-02-13T11:11:14,2021-09-09T02:17:15.061469
62,el Congrés i els Indians,Carrer Manigua,2017-02-13T11:13:21,2021-09-09T02:17:20.914286
62,el Congrés i els Indians,Carrer Matanzas,2017-02-13T11:15:19,2021-09-09T02:17:17.847995
60,Sant Andreu,Menjadors populars del carrer Gran Sant Andreu (Guerra Civil),2017-02-13T12:01:28,2021-09-09T02:17:25.817306
67,la Vila Olímpica del Poblenou,Centre Comercial El Centre de la Vila,1996-04-17T00:00:00,2022-09-17T05:20:24.185486
60,Sant Andreu,Can Fabra,2018-06-26T13:19:15,2023-09-21T13:33:45.153183
23,Sarrià,Associació Sarrià Eix Comercial,1994-11-15T00:00:00,2024-07-17T09:27:41.254517
15,Hostafrancs,Associació de Comerciants i Veïns de Creu Coberta,1985-02-04T00:00:00,2024-04-08T13:21:39.449994
69,Diagonal Mar i el Front Marítim del Poblenou,Platja de la Nova Mar Bella,1989-06-30T00:00:00,2023-05-02T09:14:55.205685
61,la Sagrera,Cooperativa La Flor de Maig - sucursal núm. 7,2017-02-09T13:10:06,2021-09-09T02:16:40.164669
22,"Vallvidrera, el Tibidabo i les Planes",Museu d'Autòmats del Tibidabo,2017-02-09T13:25:01,2021-09-09T02:16:39.467541
25,Sant Gervasi - la Bonanova,La plaça de la Bonanova,2017-02-09T13:43:53,2021-09-09T02:16:45.913814
25,Sant Gervasi - la Bonanova,La plaça del Doctor Andreu,2017-02-09T13:45:03,2021-09-09T02:16:43.272894
25,Sant Gervasi - la Bonanova,Places de Joaquim Folguera i Frederic Soler,2017-02-09T13:54:20,2021-09-09T02:16:51.125734
51,Verdun,Associació Nou Barris Centre Comerç,1990-01-26T00:00:00,2024-04-08T15:16:49.280045
14,la Font de la Guatlla,CaixaForum Barcelona,1999-11-18T00:00:00,2024-11-15T12:47:48.460787
25,Sant Gervasi - la Bonanova,CosmoCaixa Barcelona,1997-02-11T00:00:00,2024-11-19T17:17:54.075903
68,el Poblenou,Platja del Bogatell,1992-06-16T00:00:00,2024-09-10T12:37:15.319658
18,Sants,Ateneu Popular de Sants,1996-10-09T00:00:00,2023-03-09T15:05:54.403732
5,el Fort Pienc,L'Auditori de Barcelona,1998-04-07T00:00:00,2023-02-16T11:25:33.664421
