Codi_Barri,Nom_Barri,Any,Index_Gini
73,la Verneda i la Pau,2019,27.2
73,la Verneda i la Pau,2019,24.2
73,la Verneda i la Pau,2019,28.2
73,la Verneda i la Pau,2019,25.8
73,la Verneda i la Pau,2019,26.7
73,la Verneda i la Pau,2019,26.1
73,la Verneda i la Pau,2019,26.0
73,la Verneda i la Pau,2019,27.1
73,la Verneda i la Pau,2019,27.5
73,la Verneda i la Pau,2019,29.9
73,la Verneda i la Pau,2019,29.0
73,la Verneda i la Pau,2019,27.7
73,la Verneda i la Pau,2019,27.8
73,la Verneda i la Pau,2019,26.2
73,la Verneda i la Pau,2019,28.1
73,la Verneda i la Pau,2019,27.1
65,el Clot,2019,26.3
69,Diagonal Mar i el Front Marítim del Poblenou,2019,31.3
69,Diagonal Mar i el Front Marítim del Poblenou,2019,26.6
71,Provençals del Poblenou,2019,28.1
1,el Raval,2018,36.0
1,el Raval,2018,37.9
1,el Raval,2018,36.1
1,el Raval,2018,37.6
1,el Raval,2018,37.6
1,el Raval,2018,39.8
1,el Raval,2018,39.2
1,el Raval,2018,33.4
1,el Raval,2018,38.5
1,el Raval,2018,34.7
1,el Raval,2018,35.4
1,el Raval,2018,33.0
1,el Raval,2018,32.0
1,el Raval,2018,31.7
1,el Raval,2018,35.1
1,el Raval,2018,30.6
1,el Raval,2018,30.8
1,el Raval,2018,32.8
1,el Raval,2018,35.3
1,el Raval,2018,37.1
1,el Raval,2018,36.9
2,el Gòtic,2018,41.4
2,el Gòtic,2018,38.3
2,el Gòtic,2018,42.4
2,el Gòtic,2018,40.5
2,el Gòtic,2018,40.9
2,el Gòtic,2018,38.8
2,el Gòtic,2018,42.8
2,el Gòtic,2018,38.6
2,el Gòtic,2018,42.8
3,la Barceloneta,2018,37.6
3,la Barceloneta,2018,35.1
3,la Barceloneta,2018,33.2
3,la Barceloneta,2018,32.2
3,la Barceloneta,2018,33.9
3,la Barceloneta,2018,33.3
3,la Barceloneta,2018,37.1
3,la Barceloneta,2018,32.8
3,la Barceloneta,2018,37.3
3,la Barceloneta,2018,35.4
3,la Barceloneta,2018,33.6
6,la Sagrada Família,2018,30.7
4,"Sant Pere, Santa Caterina i la Ribera",2018,39.2
4,"Sant Pere, Santa Caterina i la Ribera",2018,44.6
4,"Sant Pere, Santa Caterina i la Ribera",2018,38.5
4,"Sant Pere, Santa Caterina i la Ribera",2018,39.6
4,"Sant Pere, Santa Caterina i la Ribera",2018,39.7
4,"Sant Pere, Santa Caterina i la Ribera",2018,36.4
4,"Sant Pere, Santa Caterina i la Ribera",2018,40.8
4,"Sant Pere, Santa Caterina i la Ribera",2018,36.8
4,"Sant Pere, Santa Caterina i la Ribera",2018,36.0
4,"Sant Pere, Santa Caterina i la Ribera",2018,41.8
4,"Sant Pere, Santa Caterina i la Ribera",2018,36.4
4,"Sant Pere, Santa Caterina i la Ribera",2018,37.3
4,"Sant Pere, Santa Caterina i la Ribera",2018,37.9
5,el Fort Pienc,2018,34.2
5,el Fort Pienc,2018,32.6
5,el Fort Pienc,2018,31.6
5,el Fort Pienc,2018,33.7
5,el Fort Pienc,2018,31.5
5,el Fort Pienc,2018,33.4
5,el Fort Pienc,2018,35.5
5,el Fort Pienc,2018,32.7
5,el Fort Pienc,2018,34.1
5,el Fort Pienc,2018,31.5
5,el Fort Pienc,2018,30.0
5,el Fort Pienc,2018,34.6
5,el Fort Pienc,2018,35.8
5,el Fort Pienc,2018,30.4
5,el Fort Pienc,2018,34.2
5,el Fort Pienc,2018,32.5
5,el Fort Pienc,2018,33.7
5,el Fort Pienc,2018,32.7
5,el Fort Pienc,2018,33.8
5,el Fort Pienc,2018,33.1
6,la Sagrada Família,2018,33.3
6,la Sagrada Família,2018,38.5
6,la Sagrada Família,2018,37.1
6,la Sagrada Família,2018,33.4
6,la Sagrada Família,2018,36.7
6,la Sagrada Família,2018,33.5
6,la Sagrada Família,2018,36.9
6,la Sagrada Família,2018,33.0
6,la Sagrada Família,2018,30.8
6,la Sagrada Família,2018,34.0
6,la Sagrada Família,2018,32.7
6,la Sagrada Família,2018,29.6
6,la Sagrada Família,2018,33.3
6,la Sagrada Família,2018,32.9
6,la Sagrada Família,2018,33.1
6,la Sagrada Família,2018,31.2
6,la Sagrada Família,2018,30.7
6,la Sagrada Família,2018,34.0
6,la Sagrada Família,2018,34.0
6,la Sagrada Família,2018,33.5
6,la Sagrada Família,2018,29.9
6,la Sagrada Família,2018,32.4
6,la Sagrada Família,2018,33.0
6,la Sagrada Família,2018,35.2
6,la Sagrada Família,2018,33.2
6,la Sagrada Família,2018,35.5
6,la Sagrada Família,2018,36.6
6,la Sagrada Família,2018,38.5
6,la Sagrada Família,2018,35.1
6,la Sagrada Família,2018,36.9
6,la Sagrada Família,2018,35.4
6,la Sagrada Família,2018,36.2
6,la Sagrada Família,2018,33.2
7,la Dreta de l'Eixample,2018,35.6
7,la Dreta de l'Eixample,2018,34.4
7,la Dreta de l'Eixample,2018,34.2
7,la Dreta de l'Eixample,2018,32.0
7,la Dreta de l'Eixample,2018,36.9
7,la Dreta de l'Eixample,2018,35.5
7,la Dreta de l'Eixample,2018,35.7
7,la Dreta de l'Eixample,2018,37.4
7,la Dreta de l'Eixample,2018,42.3
7,la Dreta de l'Eixample,2018,36.0
7,la Dreta de l'Eixample,2018,39.2
7,la Dreta de l'Eixample,2018,32.8
7,la Dreta de l'Eixample,2018,32.9
7,la Dreta de l'Eixample,2018,34.4
7,la Dreta de l'Eixample,2018,37.2
7,la Dreta de l'Eixample,2018,39.1
7,la Dreta de l'Eixample,2018,36.1
7,la Dreta de l'Eixample,2018,37.3
7,la Dreta de l'Eixample,2018,36.4
7,la Dreta de l'Eixample,2018,42.4
7,la Dreta de l'Eixample,2018,38.2
7,la Dreta de l'Eixample,2018,40.2
7,la Dreta de l'Eixample,2018,42.8
7,la Dreta de l'Eixample,2018,42.5
