Codi_Barri,Nom_Barri,Any,TipusEquipament,Indicador,Valor
11.0,el Poble Sec,2022,Museus i exposicions,Visites_Exposicions_Temporals,322868
1.0,el Raval,2022,Museus i exposicions,Num_Exposicions_Temporals,5
1.0,el Raval,2022,Museus i exposicions,Visitants,315664
1.0,el Raval,2022,Museus i exposicions,Visites_Exposicions_Temporals,227142
25.0,Sant Gervasi - la Bonanova,2022,Museus i exposicions,Fons_Colleccio,8232
25.0,Sant Gervasi - la Bonanova,2022,Museus i exposicions,Num_Exposicions_Temporals,2
25.0,Sant Gervasi - la Bonanova,2022,Museus i exposicions,Visitants,818940
25.0,Sant Gervasi - la Bonanova,2022,Museus i exposicions,Visites_Exposicions_Temporals,516008
1.0,el Raval,2022,Museus i exposicions,Visitants,25593
66.0,el Parc i la Llacuna del Poblenou,2022,Museus i exposicions,Num_Exposicions_Temporals,3
66.0,el Parc i la Llacuna del Poblenou,2022,Museus i exposicions,Visitants,101927
66.0,el Parc i la Llacuna del Poblenou,2022,Museus i exposicions,Visites_Exposicions_Temporals,62420
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Num_Exposicions_Temporals,3
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Visitants,752121
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Visites_Exposicions_Temporals,24351
11.0,el Poble Sec,2022,Museus i exposicions,Visitants,12709
2.0,el Barri Gòtic,2022,Museus i exposicions,Visitants,334442
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Num_Exposicions_Temporals,3
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visitants,15942
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visites_Exposicions_Temporals,15942
60.0,Sant Andreu,2022,Museus i exposicions,Num_Exposicions_Temporals,6
60.0,Sant Andreu,2022,Museus i exposicions,Visitants,9951
60.0,Sant Andreu,2022,Museus i exposicions,Visites_Exposicions_Temporals,8268
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Num_Exposicions_Temporals,6
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visitants,32527
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visites_Exposicions_Temporals,65054
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Fons_Colleccio,28091
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Num_Exposicions_Temporals,4
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Visitants,26013
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Visites_Exposicions_Temporals,26013
11.0,el Poble Sec,2022,Museus i exposicions,Fons_Colleccio,470
11.0,el Poble Sec,2022,Museus i exposicions,Visitants,150455
11.0,el Poble Sec,2022,Museus i exposicions,Fons_Colleccio,20806
11.0,el Poble Sec,2022,Museus i exposicions,Num_Exposicions_Temporals,7
11.0,el Poble Sec,2022,Museus i exposicions,Visitants,289345
11.0,el Poble Sec,2022,Museus i exposicions,Visites_Exposicions_Temporals,220571
26.0,Sant Gervasi - Galvany,2022,Museus i exposicions,Visitants,8821
20.0,la Maternitat i Sant Ramon,2022,Museus i exposicions,Fons_Colleccio,1343
20.0,la Maternitat i Sant Ramon,2022,Museus i exposicions,Num_Exposicions_Temporals,4
20.0,la Maternitat i Sant Ramon,2022,Museus i exposicions,Visitants,1963
20.0,la Maternitat i Sant Ramon,2022,Museus i exposicions,Visites_Exposicions_Temporals,1963
68.0,el Poblenou,2022,Museus i exposicions,Num_Exposicions_Temporals,3
68.0,el Poblenou,2022,Museus i exposicions,Visitants,171309
68.0,el Poblenou,2022,Museus i exposicions,Visites_Exposicions_Temporals,161389
67.0,la Vila Olímpica del Poblenou,2022,Museus i exposicions,Num_Exposicions_Temporals,8
67.0,la Vila Olímpica del Poblenou,2022,Museus i exposicions,Visitants,57256
67.0,la Vila Olímpica del Poblenou,2022,Museus i exposicions,Visites_Exposicions_Temporals,57256
2.0,el Barri Gòtic,2022,Museus i exposicions,Visitants,1455020
1.0,el Raval,2022,Museus i exposicions,Num_Exposicions_Temporals,10
1.0,el Raval,2022,Museus i exposicions,Visitants,58844
1.0,el Raval,2022,Museus i exposicions,Visites_Exposicions_Temporals,65430
9.0,la Nova Esquerra de l'Eixample,2022,Museus i exposicions,Num_Exposicions_Temporals,1
9.0,la Nova Esquerra de l'Eixample,2022,Museus i exposicions,Visitants,47218
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Num_Exposicions_Temporals,2
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visitants,677663
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visites_Exposicions_Temporals,35275
1.0,el Raval,2022,Museus i exposicions,Num_Exposicions_Temporals,14
1.0,el Raval,2022,Museus i exposicions,Visitants,106734
1.0,el Raval,2022,Museus i exposicions,Visites_Exposicions_Temporals,265839
2.0,el Barri Gòtic,2022,Museus i exposicions,Fons_Colleccio,84656
2.0,el Barri Gòtic,2022,Museus i exposicions,Num_Exposicions_Temporals,10
2.0,el Barri Gòtic,2022,Museus i exposicions,Visitants,626236
2.0,el Barri Gòtic,2022,Museus i exposicions,Visites_Exposicions_Temporals,95604
11.0,el Poble Sec,2022,Museus i exposicions,Fons_Colleccio,51472
11.0,el Poble Sec,2022,Museus i exposicions,Num_Exposicions_Temporals,3
11.0,el Poble Sec,2022,Museus i exposicions,Visitants,37783
11.0,el Poble Sec,2022,Museus i exposicions,Visites_Exposicions_Temporals,45621
1.0,el Raval,2022,Museus i exposicions,Fons_Colleccio,6413
1.0,el Raval,2022,Museus i exposicions,Num_Exposicions_Temporals,10
1.0,el Raval,2022,Museus i exposicions,Visitants,251757
1.0,el Raval,2022,Museus i exposicions,Visites_Exposicions_Temporals,336054
3.0,la Barceloneta,2022,Museus i exposicions,Fons_Colleccio,15230
3.0,la Barceloneta,2022,Museus i exposicions,Num_Exposicions_Temporals,3
3.0,la Barceloneta,2022,Museus i exposicions,Visitants,106158
3.0,la Barceloneta,2022,Museus i exposicions,Visites_Exposicions_Temporals,22038
2.0,el Barri Gòtic,2022,Museus i exposicions,Fons_Colleccio,169
2.0,el Barri Gòtic,2022,Museus i exposicions,Visitants,97272
70.0,el Besòs i el Maresme,2022,Museus i exposicions,Fons_Colleccio,3244558
70.0,el Besòs i el Maresme,2022,Museus i exposicions,Num_Exposicions_Temporals,3
70.0,el Besòs i el Maresme,2022,Museus i exposicions,Visitants,322675
70.0,el Besòs i el Maresme,2022,Museus i exposicions,Visites_Exposicions_Temporals,127799
2.0,el Barri Gòtic,2022,Museus i exposicions,Visitants,96607
5.0,el Fort Pienc,2022,Museus i exposicions,Fons_Colleccio,3263
5.0,el Fort Pienc,2022,Museus i exposicions,Num_Exposicions_Temporals,4
5.0,el Fort Pienc,2022,Museus i exposicions,Visitants,38152
5.0,el Fort Pienc,2022,Museus i exposicions,Visites_Exposicions_Temporals,33862
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Visitants,81031
66.0,el Parc i la Llacuna del Poblenou,2022,Museus i exposicions,Fons_Colleccio,81250
66.0,el Parc i la Llacuna del Poblenou,2022,Museus i exposicions,Num_Exposicions_Temporals,4
66.0,el Parc i la Llacuna del Poblenou,2022,Museus i exposicions,Visitants,137626
66.0,el Parc i la Llacuna del Poblenou,2022,Museus i exposicions,Visites_Exposicions_Temporals,37735
20.0,la Maternitat i Sant Ramon,2022,Museus i exposicions,Visitants,1298502
22.0,"Vallvidrera, el Tibidabo i les Planes",2022,Museus i exposicions,Visitants,104475
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Fons_Colleccio,1238
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Num_Exposicions_Temporals,2
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visitants,252013
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visites_Exposicions_Temporals,145838
11.0,el Poble Sec,2022,Museus i exposicions,Fons_Colleccio,74000
11.0,el Poble Sec,2022,Museus i exposicions,Num_Exposicions_Temporals,3
11.0,el Poble Sec,2022,Museus i exposicions,Visitants,62386
11.0,el Poble Sec,2022,Museus i exposicions,Visites_Exposicions_Temporals,31725
2.0,el Barri Gòtic,2022,Museus i exposicions,Fons_Colleccio,55000
2.0,el Barri Gòtic,2022,Museus i exposicions,Num_Exposicions_Temporals,1
2.0,el Barri Gòtic,2022,Museus i exposicions,Visitants,50287
2.0,el Barri Gòtic,2022,Museus i exposicions,Visites_Exposicions_Temporals,8862
1.0,el Raval,2022,Museus i exposicions,Fons_Colleccio,390269
1.0,el Raval,2022,Museus i exposicions,Num_Exposicions_Temporals,5
1.0,el Raval,2022,Museus i exposicions,Visitants,215953
1.0,el Raval,2022,Museus i exposicions,Visites_Exposicions_Temporals,37781
1.0,el Raval,2022,Museus i exposicions,Num_Exposicions_Temporals,4
11.0,el Poble Sec,2022,Museus i exposicions,Num_Exposicions_Temporals,9
11.0,el Poble Sec,2022,Museus i exposicions,Visitants,549890
11.0,el Poble Sec,2022,Museus i exposicions,Visites_Exposicions_Temporals,594327
11.0,el Poble Sec,2022,Museus i exposicions,Num_Exposicions_Temporals,2
11.0,el Poble Sec,2022,Museus i exposicions,Visitants,42357
11.0,el Poble Sec,2022,Museus i exposicions,Visites_Exposicions_Temporals,21949
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Fons_Colleccio,5255
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Num_Exposicions_Temporals,5
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Visitants,794806
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Visites_Exposicions_Temporals,759735
1.0,el Raval,2022,Museus i exposicions,Num_Exposicions_Temporals,1
1.0,el Raval,2022,Museus i exposicions,Visitants,183596
1.0,el Raval,2022,Museus i exposicions,Visites_Exposicions_Temporals,152789
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Num_Exposicions_Temporals,17
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visitants,447654
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visites_Exposicions_Temporals,447654
30.0,la Salut,2022,Museus i exposicions,Visitants,4660467
11.0,el Poble Sec,2022,Museus i exposicions,Fons_Colleccio,5877
11.0,el Poble Sec,2022,Museus i exposicions,Num_Exposicions_Temporals,2
11.0,el Poble Sec,2022,Museus i exposicions,Visitants,88437
11.0,el Poble Sec,2022,Museus i exposicions,Visites_Exposicions_Temporals,6669
35.0,el Guinardó,2022,Museus i exposicions,Visitants,214342
21.0,Pedralbes,2022,Museus i exposicions,Fons_Colleccio,8380
21.0,Pedralbes,2022,Museus i exposicions,Visitants,80024
1.0,el Raval,2022,Museus i exposicions,Visites_Exposicions_Temporals,19256
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Visitants,740053
4.0,"Sant Pere, Santa Caterina i la Ribera",2021,Arxius,Num_Exposicions_Temporals,3
4.0,"Sant Pere, Santa Caterina i la Ribera",2021,Arxius,Visitants,14102
4.0,"Sant Pere, Santa Caterina i la Ribera",2021,Arxius,Visites_Exposicions_Temporals,14022
6.0,la Sagrada Família,2021,Espais d'interès patrimonial,Visitants,1011241
14.0,la Font de la Guatlla,2021,Centres d'exposicions,Num_Exposicions_Temporals,7
14.0,la Font de la Guatlla,2021,Centres d'exposicions,Visitants,390239
14.0,la Font de la Guatlla,2021,Centres d'exposicions,Visites_Exposicions_Temporals,434290
66.0,el Parc i la Llacuna del Poblenou,2021,Museus i col·leccions,Num_Exposicions_Temporals,4
66.0,el Parc i la Llacuna del Poblenou,2021,Museus i col·leccions,Visitants,20850
66.0,el Parc i la Llacuna del Poblenou,2021,Museus i col·leccions,Visites_Exposicions_Temporals,18669
7.0,la Dreta de l'Eixample,2021,Espais d'interès patrimonial,Visitants,8737
7.0,la Dreta de l'Eixample,2021,Espais d'interès patrimonial,Visitants,299238
31.0,la Vila de Gràcia,2021,Espais d'interès patrimonial,Num_Exposicions_Temporals,4
31.0,la Vila de Gràcia,2021,Espais d'interès patrimonial,Visitants,70572
31.0,la Vila de Gràcia,2021,Espais d'interès patrimonial,Visites_Exposicions_Temporals,63037
11.0,el Poble Sec,2021,Museus i col·leccions,Num_Exposicions_Temporals,5
11.0,el Poble Sec,2021,Museus i col·leccions,Visitants,384905
11.0,el Poble Sec,2021,Museus i col·leccions,Visites_Exposicions_Temporals,222827
1.0,el Raval,2021,Centres d'exposicions,Num_Exposicions_Temporals,6
1.0,el Raval,2021,Centres d'exposicions,Visitants,185802
1.0,el Raval,2021,Centres d'exposicions,Visites_Exposicions_Temporals,185802
25.0,Sant Gervasi - la Bonanova,2021,Museus i col·leccions,Fons_Colleccio,8227
25.0,Sant Gervasi - la Bonanova,2021,Museus i col·leccions,Num_Exposicions_Temporals,2
25.0,Sant Gervasi - la Bonanova,2021,Museus i col·leccions,Visitants,543164
25.0,Sant Gervasi - la Bonanova,2021,Museus i col·leccions,Visites_Exposicions_Temporals,251765
