Codi_Barri,Nom_Barri,Id_Instal
8,l'Antiga Esquerra de l'Eixample,7346
8,l'Antiga Esquerra de l'Eixample,7366
8,l'Antiga Esquerra de l'Eixample,7367
4,"Sant Pere, Santa Caterina i la Ribera",7406
3,la Barceloneta,7426
66,el Parc i la Llacuna del Poblenou,7446
43,Horta,7466
11,el Poble Sec,7486
31,la Vila de Gràcia,7506
35,el Guinardó,7526
71,Provençals del Poblenou,7546
71,Provençals del Poblenou,7566
5,el Fort Pienc,7567
31,la Vila de Gràcia,7568
5,el Fort Pienc,7571
31,la Vila de Gràcia,7573
10,Sant Antoni,7575
43,Horta,7576
11,el Poble Sec,7586
26,Galvany,7587
11,el Poble Sec,7588
64,el Camp de l'Arpa del Clot,7606
4,"Sant Pere, Santa Caterina i la Ribera",7626
64,el Camp de l'Arpa del Clot,7646
25,la Bonanova,7686
7,la Dreta de l'Eixample,7687
64,el Camp de l'Arpa del Clot,7706
26,Galvany,7726
26,Galvany,7727
26,Galvany,7728
26,Galvany,7729
61,la Sagrera,7746
60,Sant Andreu,7766
43,Horta,7767
8,l'Antiga Esquerra de l'Eixample,7768
3,la Barceloneta,7786
10,Sant Antoni,7806
11,el Poble Sec,7826
18,Sants,7846
7,la Dreta de l'Eixample,7886
19,les Corts,7926
71,Provençals del Poblenou,7968
31,la Vila de Gràcia,7986
31,la Vila de Gràcia,7987
31,la Vila de Gràcia,8006
19,les Corts,8026
30,la Salut,8027
11,el Poble Sec,8047
2,el Barri Gòtic,8048
8,l'Antiga Esquerra de l'Eixample,8049
2,el Barri Gòtic,8066
65,el Clot,8067
30,la Salut,8086
11,el Poble Sec,8106
19,les Corts,8126
65,el Clot,8146
19,les Corts,8166
2,el Barri Gòtic,8186
2,el Barri Gòtic,8187
8,l'Antiga Esquerra de l'Eixample,8206
7,la Dreta de l'Eixample,8207
8,l'Antiga Esquerra de l'Eixample,8208
4,"Sant Pere, Santa Caterina i la Ribera",8226
2,el Barri Gòtic,8246
9,la Nova Esquerra de l'Eixample,8247
8,l'Antiga Esquerra de l'Eixample,8266
18,Sants,8267
1,el Raval,8286
1,el Raval,8287
4,"Sant Pere, Santa Caterina i la Ribera",8306
31,la Vila de Gràcia,8326
9,la Nova Esquerra de l'Eixample,8346
8,l'Antiga Esquerra de l'Eixample,8347
7,la Dreta de l'Eixample,8348
11,el Poble Sec,8366
10,Sant Antoni,8386
51,Verdun,8406
10,Sant Antoni,8426
2,el Barri Gòtic,8427
66,el Parc i la Llacuna del Poblenou,8428
8,l'Antiga Esquerra de l'Eixample,8446
2,el Barri Gòtic,8466
2,el Barri Gòtic,8467
2,el Barri Gòtic,8468
2,el Barri Gòtic,8469
26,Galvany,8486
26,Galvany,8487
26,Galvany,8488
26,Galvany,8489
26,Galvany,8506
26,Galvany,8526
26,Galvany,8546
26,Galvany,8547
7,la Dreta de l'Eixample,8566
11,el Poble Sec,8586
2,el Barri Gòtic,8587
10,Sant Antoni,8606
26,Galvany,8626
2,el Barri Gòtic,8627
26,Galvany,8646
26,Galvany,8666
35,el Guinardó,8667
66,el Parc i la Llacuna del Poblenou,8686
66,el Parc i la Llacuna del Poblenou,8706
66,el Parc i la Llacuna del Poblenou,8726
66,el Parc i la Llacuna del Poblenou,8727
11,el Poble Sec,8746
66,el Parc i la Llacuna del Poblenou,8747
26,Galvany,8766
31,la Vila de Gràcia,8768
33,el Baix Guinardó,8786
33,el Baix Guinardó,8787
30,la Salut,8826
30,la Salut,8846
18,Sants,8866
33,el Baix Guinardó,8886
2,el Barri Gòtic,8908
1,el Raval,8909
1,el Raval,8910
2,el Barri Gòtic,8911
2,el Barri Gòtic,8926
2,el Barri Gòtic,8927
2,el Barri Gòtic,8928
9,la Nova Esquerra de l'Eixample,8946
4,"Sant Pere, Santa Caterina i la Ribera",8986
4,"Sant Pere, Santa Caterina i la Ribera",8987
4,"Sant Pere, Santa Caterina i la Ribera",8988
4,"Sant Pere, Santa Caterina i la Ribera",8989
4,"Sant Pere, Santa Caterina i la Ribera",8990
66,el Parc i la Llacuna del Poblenou,9006
10,Sant Antoni,9007
18,Sants,9026
2,el Barri Gòtic,9028
26,Galvany,9046
26,Galvany,9066
18,Sants,9086
66,el Parc i la Llacuna del Poblenou,9106
8,l'Antiga Esquerra de l'Eixample,9146
26,Galvany,9166
26,Galvany,9167
1,el Raval,9186
11,el Poble Sec,9206
66,el Parc i la Llacuna del Poblenou,9226
31,la Vila de Gràcia,9246
2,el Barri Gòtic,9266
70,el Besòs i el Maresme,9286
4,"Sant Pere, Santa Caterina i la Ribera",9306
2,el Barri Gòtic,9326
2,el Barri Gòtic,9327
2,el Barri Gòtic,9328
2,el Barri Gòtic,9346
2,el Barri Gòtic,9366
2,el Barri Gòtic,9386
31,la Vila de Gràcia,9426
31,la Vila de Gràcia,9427
62,el Congrés i els Indians,9428
31,la Vila de Gràcia,9429
61,la Sagrera,9446
56,Vallbona,9447
2,el Barri Gòtic,9466
8,l'Antiga Esquerra de l'Eixample,9486
