Espai,Any,Assistents
Diversos espais de la ciutat,2022,4800.0
Diversos espais de la ciutat,2022,2600.0
Diversos espais de la ciutat,2022,1550.0
Diversos espais de la ciutat,2022,661.0
Terrat del Palau Güell,2022,200.0
Diversos espais de la ciutat,2022,8500.0
Diversos espais de la ciutat,2022,9000.0
Biblioteca Collserola ¿ Josep Miracle ,2022,592.0
Diversos espais del Districte de Sant Martí,2022,100000.0
Hotel Almanac,2022,4530.0
Diversos espais de la ciutat,2022,52000.0
Teatre dels Lluïsos de Gràcia,2022,340.0
Poble Espanyol,2022,8800.0
Fira Barcelona Gran Via,2022,163000.0
Centre de Cultura Contemporània de Barcelona. CCCB,2022,255.0
Centre Cívic Cotxeres de Sants,2022,278.0
Diversos espais de la ciutat,2022,22011.0
Jardins Elisava,2022,4200.0
Diversos espais de la ciutat,2022,179037.0
Centre Cultural La Farinera del Clot,2022,800.0
Diversos espais de la ciutat,2022,450.0
Diversos espais de la ciutat,2022,7000.0
Diversos espais de la ciutat,2022,1480.0
"CCCB, Pl. de Joan Coromines, Biblioteca Nou Barris, Biblioteca Poblenou-Manuel Arranz",2022,14000.0
Diversos espais de la ciutat,2022,1225.0
Diversos espais de la ciutat,2022,4000.0
Diversos espais de la ciutat,2022,250.0
Diversos espais de la ciutat,2022,6190.0
Diversos espais de la ciutat,2022,7961.0
Diversos espais de la ciutat,2022,600.0
Diversos espais de la ciutat,2022,1103.0
Diversos espais de la ciutat,2022,7300.0
Poble Espanyol,2022,4300.0
Poble Espanyol,2022,30000.0
Disseny Hub Barcelona,2022,5000.0
Diversos espais de la ciutat,2022,3000.0
Xarxa de centres cívics,2022,3341.0
Xarxa de centres cívics,2022,2077.0
Pavelló Mies van der Rohe,2022,311.0
Diversos espais de la ciutat,2022,460500.0
Diversos espais de la ciutat,2022,100.0
Diversos espais de la ciutat,2022,2150.0
Castell de Montjuïc,2022,2500.0
Diversos espais de la ciutat,2022,615.0
Pla de Montbau,2022,2000.0
Ateneu Popular 9 Barris,2022,380.0
Castell de Montjuïc,2022,28000.0
Diversos espais de la ciutat,2022,1000.0
Diversos espais de la ciutat,2022,50.0
Diversos espais de la ciutat,2022,5800.0
Moll de la Fusta,2022,50000.0
Poble Espanyol,2022,10000.0
Diversos espais de la ciutat,2022,17200.0
Diversos espais de la ciutat,2022,122000.0
Centre de Cultura Contemporània de Barcelona. CCCB,2022,1040.0
La terrassa de Diagonal Mar,2022,8500.0
Diversos espais de la ciutat,2022,4106.0
Diversos espais de la ciutat,2022,10000.0
Diversos espais de la ciutat,2022,1480.0
Poble Espanyol,2022,4000.0
Parc de Montjuïc,2022,60000.0
Diversos espais de la ciutat,2022,80000.0
Diversos espais de la ciutat,2022,650.0
Castell de Montjuïc,2021,600.0
Fabra i Coats,2021,6000.0
Diversos espais de la ciutat,2021,65182.0
Diversos espais de la ciutat,2021,800.0
Centre Cultura Contemporània Barcelona,2021,4715.0
Cinemes Girona,2021,5948.0
Arts Santa Mònica,2021,15900.0
Fossat del Mercat de Sant Antoni,2021,16000.0
Cinemes Girona,2021,57867.0
Diversos espais de la ciutat,2021,11199.0
Disseny Hub Barcelona,2021,34300.0
Diversos espais de la ciutat,2021,4901.0
29 centres cívics i culturals,2021,12435.0
29 centres cívics i culturals,2021,16751.0
Biblioteca de Catalunya,2021,160.0
"33 galeries d'art a Barcelona, L'Hospitalet, Sitges i Santa Margarida i els Monjos, i activitats especials en espais col·laboradors a Barcelona.",2021,13600.0
Diversos espais de la ciutat,2021,4884.0
Diversos espais de la ciutat,2021,6208.0
Fira de Barcelona,2021,15000.0
Museu Olímpic i de l'Esport Joan Antoni Samaranch,2021,300.0
Diversos espais de la ciutat,2021,8421.0
Sala Almo2bar,2021,300.0
CCCB,2021,1149.0
Poble Espanyol,2021,22600.0
Filmoteca de Catalunya i Cinema Maldà,2021,2032.0
Cinemes Girona,2021,4571.0
Cinemes Girona,2021,5910.0
Horts de Can Soler,2021,50.0
