Codi_Dimensio,Desc_Dimensio,Codi_Valor,Desc_Valor_CA,Desc_Valor_EN
1,SEXE,1,Dona,Female
1,SEXE,2,Home,Male
2,EDAT_1,0,0 anys,0 years
2,EDAT_1,1,1 anys,1 years
2,EDAT_1,2,2 anys,2 years
2,EDAT_1,3,3 anys,3 years
2,EDAT_1,4,4 anys,4 years
2,EDAT_1,5,5 anys,5 years
2,EDAT_1,6,6 anys,6 years
2,EDAT_1,7,7 anys,7 years
2,EDAT_1,8,8 anys,8 years
2,EDAT_1,9,9 anys,9 years
2,EDAT_1,10,10 anys,10 years
2,EDAT_1,11,11 anys,11 years
2,EDAT_1,12,12 anys,12 years
2,EDAT_1,13,13 anys,13 years
2,EDAT_1,14,14 anys,14 years
2,EDAT_1,15,15 anys,15 years
2,EDAT_1,16,16 anys,16 years
2,EDAT_1,17,17 anys,17 years
2,EDAT_1,18,18 anys,18 years
2,EDAT_1,19,19 anys,19 years
2,EDAT_1,20,20 anys,20 years
2,EDAT_1,21,21 anys,21 years
2,EDAT_1,22,22 anys,22 years
2,EDAT_1,23,23 anys,23 years
2,EDAT_1,24,24 anys,24 years
2,EDAT_1,25,25 anys,25 years
2,EDAT_1,26,26 anys,26 years
2,EDAT_1,27,27 anys,27 years
2,EDAT_1,28,28 anys,28 years
2,EDAT_1,29,29 anys,29 years
2,EDAT_1,30,30 anys,30 years
2,EDAT_1,31,31 anys,31 years
2,EDAT_1,32,32 anys,32 years
2,EDAT_1,33,33 anys,33 years
2,EDAT_1,34,34 anys,34 years
2,EDAT_1,35,35 anys,35 years
2,EDAT_1,36,36 anys,36 years
2,EDAT_1,37,37 anys,37 years
2,EDAT_1,38,38 anys,38 years
2,EDAT_1,39,39 anys,39 years
2,EDAT_1,40,40 anys,40 years
2,EDAT_1,41,41 anys,41 years
2,EDAT_1,42,42 anys,42 years
2,EDAT_1,43,43 anys,43 years
2,EDAT_1,44,44 anys,44 years
2,EDAT_1,45,45 anys,45 years
2,EDAT_1,46,46 anys,46 years
2,EDAT_1,47,47 anys,47 years
2,EDAT_1,48,48 anys,48 years
2,EDAT_1,49,49 anys,49 years
2,EDAT_1,50,50 anys,50 years
2,EDAT_1,51,51 anys,51 years
2,EDAT_1,52,52 anys,52 years
2,EDAT_1,53,53 anys,53 years
2,EDAT_1,54,54 anys,54 years
2,EDAT_1,55,55 anys,55 years
2,EDAT_1,56,56 anys,56 years
2,EDAT_1,57,57 anys,57 years
2,EDAT_1,58,58 anys,58 years
2,EDAT_1,59,59 anys,59 years
2,EDAT_1,60,60 anys,60 years
2,EDAT_1,61,61 anys,61 years
2,EDAT_1,62,62 anys,62 years
2,EDAT_1,63,63 anys,63 years
2,EDAT_1,64,64 anys,64 years
2,EDAT_1,65,65 anys,65 years
2,EDAT_1,66,66 anys,66 years
2,EDAT_1,67,67 anys,67 years
2,EDAT_1,68,68 anys,68 years
2,EDAT_1,69,69 anys,69 years
2,EDAT_1,70,70 anys,70 years
2,EDAT_1,71,71 anys,71 years
2,EDAT_1,72,72 anys,72 years
2,EDAT_1,73,73 anys,73 years
2,EDAT_1,74,74 anys,74 years
2,EDAT_1,75,75 anys,75 years
2,EDAT_1,76,76 anys,76 years
2,EDAT_1,77,77 anys,77 years
2,EDAT_1,78,78 anys,78 years
2,EDAT_1,79,79 anys,79 years
2,EDAT_1,80,80 anys,80 years
2,EDAT_1,81,81 anys,81 years
2,EDAT_1,82,82 anys,82 years
2,EDAT_1,83,83 anys,83 years
2,EDAT_1,84,84 anys,84 years
2,EDAT_1,85,85 anys,85 years
2,EDAT_1,86,86 anys,86 years
2,EDAT_1,87,87 anys,87 years
2,EDAT_1,88,88 anys,88 years
2,EDAT_1,89,89 anys,89 years
2,EDAT_1,90,90 anys,90 years
2,EDAT_1,91,91 anys,91 years
2,EDAT_1,92,92 anys,92 years
2,EDAT_1,93,93 anys,93 years
2,EDAT_1,94,94 anys,94 years
2,EDAT_1,95,95 anys,95 years
2,EDAT_1,96,96 anys,96 years
2,EDAT_1,97,97 anys,97 years
2,EDAT_1,98,98 anys,98 years
2,EDAT_1,99,99 anys,99 years
2,EDAT_1,100,≥100 anys,≥100 years
2,EDAT_1,101,No consta,Not available
3,EDAT_Q,0,<5 anys,<5 years
3,EDAT_Q,1,5-9 anys,5-9 years
3,EDAT_Q,2,10-14 anys,10-14 years
3,EDAT_Q,3,15-19 anys,15-19 years
3,EDAT_Q,4,20-24 anys,20-24 years
3,EDAT_Q,5,25-29 anys,25-29 years
3,EDAT_Q,6,30-34 anys,30-34 years
3,EDAT_Q,7,35-39 anys,35-39 years
3,EDAT_Q,8,40-44 anys,40-44 years
3,EDAT_Q,9,45-49 anys,45-49 years
3,EDAT_Q,10,50-54 anys,50-54 years
3,EDAT_Q,11,55-59 anys,55-59 years
3,EDAT_Q,12,60-64 anys,60-64 years
3,EDAT_Q,13,65-69 anys,65-69 years
3,EDAT_Q,14,70-74 anys,70-74 years
3,EDAT_Q,15,75-79 anys,75-79 years
3,EDAT_Q,16,80-84 anys,80-84 years
3,EDAT_Q,17,85-89 anys,85-89 years
3,EDAT_Q,18,90-94 anys,90-94 years
3,EDAT_Q,19,95-99 anys,95-99 years
3,EDAT_Q,20,≥100 anys,≥100 years
3,EDAT_Q,21,No consta,Not available
4,LLOC_NAIX,1,Barcelona ciutat,City of Barcelona
4,LLOC_NAIX,2,Resta de Catalunya,Rest of Catalonia
4,LLOC_NAIX,3,Resta d’Espanya,Rest of Spain
4,LLOC_NAIX,4,Resta de la Unió Europea,Rest of European Union
4,LLOC_NAIX,5,Resta del món,Rest of World
4,LLOC_NAIX,6,No consta,Not available
5,LLOC_NAIX_CCAA,1,Andalusia,Andalucía
5,LLOC_NAIX_CCAA,2,Aragó,Aragón
5,LLOC_NAIX_CCAA,3,Principat d'Astúries,Principado de Asturias
5,LLOC_NAIX_CCAA,4,Illes Balears,Illes Balears
5,LLOC_NAIX_CCAA,5,Canàries,Canarias
5,LLOC_NAIX_CCAA,6,Cantàbria,Cantabria
5,LLOC_NAIX_CCAA,7,Castella i Lleó,Castilla y León
5,LLOC_NAIX_CCAA,8,Castella - la Manxa,Castilla - La Mancha
5,LLOC_NAIX_CCAA,9,Catalunya,Cataluña
5,LLOC_NAIX_CCAA,10,Comunitat Valenciana,Comunitat Valenciana
5,LLOC_NAIX_CCAA,11,Extremadura,Extremadura
5,LLOC_NAIX_CCAA,12,Galícia,Galicia
5,LLOC_NAIX_CCAA,13,Comunitat de Madrid,Comunidad de Madrid
5,LLOC_NAIX_CCAA,14,Regió de Múrcia,Región de Murcia
5,LLOC_NAIX_CCAA,15,Comunitat Foral de Navarra,Comunidad Foral de Navarra
5,LLOC_NAIX_CCAA,16,País Basc,País Vasco
5,LLOC_NAIX_CCAA,17,"Rioja, La","Rioja, La"
5,LLOC_NAIX_CCAA,18,Ceuta,Ceuta
5,LLOC_NAIX_CCAA,19,Melilla,Melilla
5,LLOC_NAIX_CCAA,20,Estranger,Foreign
5,LLOC_NAIX_CCAA,21,No consta,Not available
6,LLOC_NAIX_REGIO,1,Àfrica oriental,Eastern Africa
6,LLOC_NAIX_REGIO,2,Àfrica central,Middle Africa
6,LLOC_NAIX_REGIO,3,Àfrica septentrional,Northern Africa
6,LLOC_NAIX_REGIO,4,Àfrica meridional,Southern Africa
6,LLOC_NAIX_REGIO,5,Àfrica occidental,Western Africa
6,LLOC_NAIX_REGIO,6,Carib,Caribbean
6,LLOC_NAIX_REGIO,7,Amèrica central,Central America
6,LLOC_NAIX_REGIO,8,Amèrica del sud,South America
6,LLOC_NAIX_REGIO,9,Amèrica del nord,Northern America
6,LLOC_NAIX_REGIO,10,Àsia central,Central Asia
6,LLOC_NAIX_REGIO,11,Àsia oriental,Eastern Asia
6,LLOC_NAIX_REGIO,12,Àsia meridional,Southern Asia
6,LLOC_NAIX_REGIO,13,Àsia sud-oriental,South-Eastern Asia
6,LLOC_NAIX_REGIO,14,Àsia occidental,Western Asia
6,LLOC_NAIX_REGIO,15,Europa oriental,Eastern Europe
6,LLOC_NAIX_REGIO,16,Europa septentrional,Northern Europe
6,LLOC_NAIX_REGIO,17,Europa meridional,Southern Europe
6,LLOC_NAIX_REGIO,18,Europa occidental,Western Europe
6,LLOC_NAIX_REGIO,19,Austràlia i Nova Zelanda,Australia and New Zealand
6,LLOC_NAIX_REGIO,20,Melanèsia,Melanesia
6,LLOC_NAIX_REGIO,21,Micronèsia,Micronesia
6,LLOC_NAIX_REGIO,22,Polinèsia,Polynesia
6,LLOC_NAIX_REGIO,23,No consta,Not available
7,NACIONALITAT_G,1,Espanya,Spain
7,NACIONALITAT_G,2,Resta de la Unió Europea,Rest of European Union
7,NACIONALITAT_G,3,Resta del món,Rest of World
7,NACIONALITAT_G,4,No consta,Not available
8,NACIONALITAT_REGIO,1,Àfrica oriental,Eastern Africa
8,NACIONALITAT_REGIO,2,Àfrica central,Middle Africa
8,NACIONALITAT_REGIO,3,Àfrica septentrional,Northern Africa
8,NACIONALITAT_REGIO,4,Àfrica meridional,Southern Africa
8,NACIONALITAT_REGIO,5,Àfrica occidental,Western Africa
8,NACIONALITAT_REGIO,6,Carib,Caribbean
8,NACIONALITAT_REGIO,7,Amèrica central,Central America
8,NACIONALITAT_REGIO,8,Amèrica del sud,South America
8,NACIONALITAT_REGIO,9,Amèrica del nord,Northern America
8,NACIONALITAT_REGIO,10,Àsia central,Central Asia
8,NACIONALITAT_REGIO,11,Àsia oriental,Eastern Asia
8,NACIONALITAT_REGIO,12,Àsia meridional,Southern Asia
8,NACIONALITAT_REGIO,13,Àsia sud-oriental,South-Eastern Asia
8,NACIONALITAT_REGIO,14,Àsia occidental,Western Asia
8,NACIONALITAT_REGIO,15,Europa oriental,Eastern Europe
8,NACIONALITAT_REGIO,16,Europa septentrional,Northern Europe
8,NACIONALITAT_REGIO,17,Europa meridional,Southern Europe
8,NACIONALITAT_REGIO,18,Europa occidental,Western Europe
8,NACIONALITAT_REGIO,19,Austràlia i Nova Zelanda,Australia and New Zealand
8,NACIONALITAT_REGIO,20,Melanèsia,Melanesia
8,NACIONALITAT_REGIO,21,Micronèsia,Micronesia
8,NACIONALITAT_REGIO,22,Polinèsia,Polynesia
8,NACIONALITAT_REGIO,23,No consta,Not available
9,NIV_EDUCA_esta,1,Sense estudis,Less than primary education
9,NIV_EDUCA_esta,2,"Estudis primaris, certificat d'escolaritat, EGB",Primary education
9,NIV_EDUCA_esta,3,"Batxillerat elemental, graduat escolar, ESO, FPI",Lower secondary education
9,NIV_EDUCA_esta,4,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",Upper secondary or post-secondary non-tertiary education
9,NIV_EDUCA_esta,5,"Estudis universitaris, CFGS grau superior",Tertiary education
9,NIV_EDUCA_esta,6,No consta,Not available
10,DECADA,1,Abans de 1930,Before 1930
10,DECADA,2,1930-1939,1930-1939
10,DECADA,3,1940-1949,1940-1949
10,DECADA,4,1950-1959,1950-1959
10,DECADA,5,1960-1969,1960-1969
10,DECADA,6,1970-1979,1970-1979
10,DECADA,7,1980-1989,1980-1989
10,DECADA,8,1990-1999,1990-1999
10,DECADA,9,2000-2009,2000-2009
10,DECADA,10,2010-2019,2010-2019
10,DECADA,11,2020-2030,2020-2023
11,LLOC_NAIX_PAIS,1,Afganistan,Afghanistan
11,LLOC_NAIX_PAIS,2,Aland,Åland
11,LLOC_NAIX_PAIS,3,Albània,Albania
11,LLOC_NAIX_PAIS,4,Alemanya,Germany
11,LLOC_NAIX_PAIS,5,Algèria,Algeria
11,LLOC_NAIX_PAIS,6,Andorra,Andorra
11,LLOC_NAIX_PAIS,7,Angola,Angola
11,LLOC_NAIX_PAIS,8,Anguilla,Anguilla
11,LLOC_NAIX_PAIS,9,Antigua i Barbuda,Antigua and Barbuda
