Codi_Barri,Nom_Barri,Any,Superfície (ha)
69,Diagonal Mar i el Front Marítim del Poblenou,2012,123.7
70,el Besòs i el Maresme,2012,127.4
71,Provençals del Poblenou,2012,110.5
72,Sant Martí de Provençals,2012,74.5
73,la Verneda i la Pau,2012,112.3
1,el Raval,2011,109.8
2,el Barri Gòtic,2011,84.2
3,la Barceloneta,2011,131.4
4,"Sant Pere, Santa Caterina i la Ribera",2011,111.4
5,el Fort Pienc,2011,92.9
6,la Sagrada Família,2011,105.1
7,la Dreta de l'Eixample,2011,212.3
8,l'Antiga Esquerra de l'Eixample,2011,123.4
9,la Nova Esquerra de l'Eixample,2011,133.8
10,Sant Antoni,2011,80.1
11,el Poble Sec,2011,460.5
12,la Marina del Prat Vermell,2011,1428.4
13,la Marina de Port,2011,125.5
14,la Font de la Guatlla,2011,30.2
15,Hostafrancs,2011,41.0
16,la Bordeta,2011,57.7
17,Sants - Badal,2011,41.1
18,Sants,2011,109.8
19,les Corts,2011,141.3
20,la Maternitat i Sant Ramon,2011,190.3
21,Pedralbes,2011,270.2
22,"Vallvidrera, el Tibidabo i les Planes",2011,1152.2
23,Sarrià,2011,304.2
24,les Tres Torres,2011,78.8
25,Sant Gervasi - la Bonanova,2011,223.5
26,Sant Gervasi - Galvany,2011,165.9
27,el Putxet i el Farró,2011,84.6
28,Vallcarca i els Penitents,2011,120.9
29,el Coll,2011,35.8
30,la Salut,2011,64.4
31,la Vila de Gràcia,2011,132.6
32,el Camp d'en Grassot i Gràcia Nova,2011,65.0
33,el Baix Guinardó,2011,56.0
34,Can Baró,2011,38.4
35,el Guinardó,2011,130.8
36,la Font d'en Fargues,2011,65.7
37,el Carmel,2011,94.2
38,la Teixonera,2011,33.7
39,Sant Genís dels Agudells,2011,171.6
40,Montbau,2011,204.7
41,la Vall d'Hebron,2011,73.6
42,la Clota,2011,17.8
43,Horta,2011,308.2
44,Vilapicina i la Torre Llobeta,2011,56.7
45,Porta,2011,84.1
46,el Turó de la Peira,2011,35.4
47,Can Peguera,2011,12.0
48,la Guineueta,2011,61.1
49,Canyelles,2011,79.3
50,les Roquetes,2011,64.2
51,Verdun,2011,23.7
52,la Prosperitat,2011,59.5
53,la Trinitat Nova,2011,56.0
54,Torre Baró,2011,176.8
55,Ciutat Meridiana,2011,35.5
56,Vallbona,2011,59.8
57,la Trinitat Vella,2011,81.0
58,Baró de Viver,2011,23.0
59,el Bon Pastor,2011,188.2
60,Sant Andreu,2011,184.1
61,la Sagrera,2011,97.2
62,el Congrés i els Indians,2011,40.7
63,Navas,2011,42.3
64,el Camp de l'Arpa del Clot,2011,74.2
65,el Clot,2011,69.6
66,el Parc i la Llacuna del Poblenou,2011,111.4
67,la Vila Olímpica del Poblenou,2011,94.3
68,el Poblenou,2011,154.5
69,Diagonal Mar i el Front Marítim del Poblenou,2011,123.7
70,el Besòs i el Maresme,2011,127.4
71,Provençals del Poblenou,2011,110.5
72,Sant Martí de Provençals,2011,74.5
73,la Verneda i la Pau,2011,112.3
1,el Raval,2010,109.8
2,el Barri Gòtic,2010,84.2
3,la Barceloneta,2010,131.4
4,"Sant Pere, Santa Caterina i la Ribera",2010,111.4
5,el Fort Pienc,2010,92.9
6,la Sagrada Família,2010,105.1
7,la Dreta de l'Eixample,2010,212.3
8,l'Antiga Esquerra de l'Eixample,2010,123.4
9,la Nova Esquerra de l'Eixample,2010,133.8
10,Sant Antoni,2010,80.1
11,el Poble Sec,2010,460.5
12,la Marina del Prat Vermell,2010,1428.4
13,la Marina de Port,2010,125.5
14,la Font de la Guatlla,2010,30.2
15,Hostafrancs,2010,41.0
16,la Bordeta,2010,57.7
17,Sants - Badal,2010,41.1
18,Sants,2010,109.8
19,les Corts,2010,141.3
20,la Maternitat i Sant Ramon,2010,190.3
21,Pedralbes,2010,270.2
22,"Vallvidrera, el Tibidabo i les Planes",2010,1152.4
23,Sarrià,2010,304.2
24,les Tres Torres,2010,78.8
25,Sant Gervasi - la Bonanova,2010,223.5
26,Sant Gervasi - Galvany,2010,165.9
27,el Putxet i el Farró,2010,84.6
28,Vallcarca i els Penitents,2010,120.9
29,el Coll,2010,35.8
30,la Salut,2010,64.3
31,la Vila de Gràcia,2010,132.6
32,el Camp d'en Grassot i Gràcia Nova,2010,65.0
33,el Baix Guinardó,2010,56.0
34,Can Baró,2010,38.4
35,el Guinardó,2010,130.8
36,la Font d'en Fargues,2010,65.7
37,el Carmel,2010,94.2
38,la Teixonera,2010,33.7
39,Sant Genís dels Agudells,2010,171.6
40,Montbau,2010,204.7
41,la Vall d'Hebron,2010,73.6
42,la Clota,2010,17.8
43,Horta,2010,308.2
44,Vilapicina i la Torre Llobeta,2010,56.7
45,Porta,2010,84.1
46,el Turó de la Peira,2010,35.4
47,Can Peguera,2010,12.0
48,la Guineueta,2010,61.1
49,Canyelles,2010,79.3
50,les Roquetes,2010,64.2
51,Verdun,2010,23.7
52,la Prosperitat,2010,59.5
53,la Trinitat Nova,2010,56.0
54,Torre Baró,2010,176.8
55,Ciutat Meridiana,2010,35.5
56,Vallbona,2010,59.8
57,la Trinitat Vella,2010,81.0
58,Baró de Viver,2010,23.0
59,el Bon Pastor,2010,188.2
60,Sant Andreu,2010,184.1
61,la Sagrera,2010,97.2
62,el Congrés i els Indians,2010,40.7
63,Navas,2010,42.3
64,el Camp de l'Arpa del Clot,2010,74.2
65,el Clot,2010,69.6
66,el Parc i la Llacuna del Poblenou,2010,111.4
67,la Vila Olímpica del Poblenou,2010,94.3
68,el Poblenou,2010,154.5
69,Diagonal Mar i el Front Marítim del Poblenou,2010,123.7
70,el Besòs i el Maresme,2010,127.4
71,Provençals del Poblenou,2010,110.5
72,Sant Martí de Provençals,2010,74.5
73,la Verneda i la Pau,2010,112.3
1,el Raval,2009,109.8
2,el Barri Gòtic,2009,84.2
3,la Barceloneta,2009,131.4
4,"Sant Pere, Santa Caterina i la Ribera",2009,111.4
5,el Fort Pienc,2009,92.9
6,la Sagrada Família,2009,105.1
7,la Dreta de l'Eixample,2009,212.3
8,l'Antiga Esquerra de l'Eixample,2009,123.4
9,la Nova Esquerra de l'Eixample,2009,133.8
10,Sant Antoni,2009,80.1
11,el Poble Sec,2009,460.5
12,la Marina del Prat Vermell,2009,1428.4
13,la Marina de Port,2009,125.5
14,la Font de la Guatlla,2009,30.2
15,Hostafrancs,2009,41.0
16,la Bordeta,2009,57.7
17,Sants - Badal,2009,41.1
18,Sants,2009,109.8
19,les Corts,2009,141.3
20,la Maternitat i Sant Ramon,2009,190.3
21,Pedralbes,2009,270.2
22,"Vallvidrera, el Tibidabo i les Planes",2009,1152.4
23,Sarrià,2009,304.2
24,les Tres Torres,2009,78.8
25,Sant Gervasi - la Bonanova,2009,223.5
26,Sant Gervasi - Galvany,2009,165.9
27,el Putxet i el Farró,2009,84.6
28,Vallcarca i els Penitents,2009,120.9
29,el Coll,2009,35.8
30,la Salut,2009,64.3
31,la Vila de Gràcia,2009,132.6
32,el Camp d'en Grassot i Gràcia Nova,2009,65.0
33,el Baix Guinardó,2009,56.0
34,Can Baró,2009,38.4
35,el Guinardó,2009,130.8
36,la Font d'en Fargues,2009,65.7
37,el Carmel,2009,94.2
38,la Teixonera,2009,33.7
39,Sant Genís dels Agudells,2009,171.6
40,Montbau,2009,204.7
41,la Vall d'Hebron,2009,73.6
42,la Clota,2009,17.8
43,Horta,2009,308.2
44,Vilapicina i la Torre Llobeta,2009,56.7
45,Porta,2009,84.1
46,el Turó de la Peira,2009,35.4
47,Can Peguera,2009,12.0
48,la Guineueta,2009,61.1
49,Canyelles,2009,79.3
50,les Roquetes,2009,64.2
51,Verdun,2009,23.7
52,la Prosperitat,2009,59.5
53,la Trinitat Nova,2009,56.0
54,Torre Baró,2009,176.8
55,Ciutat Meridiana,2009,35.5
56,Vallbona,2009,59.8
57,la Trinitat Vella,2009,81.0
58,Baró de Viver,2009,23.0
59,el Bon Pastor,2009,188.2
60,Sant Andreu,2009,184.1
61,la Sagrera,2009,97.2
62,el Congrés i els Indians,2009,40.7
63,Navas,2009,42.3
64,el Camp de l'Arpa del Clot,2009,74.2
65,el Clot,2009,69.6
66,el Parc i la Llacuna del Poblenou,2009,111.4
67,la Vila Olímpica del Poblenou,2009,94.3
68,el Poblenou,2009,154.5
69,Diagonal Mar i el Front Marítim del Poblenou,2009,123.7
70,el Besòs i el Maresme,2009,127.4
71,Provençals del Poblenou,2009,110.5
72,Sant Martí de Provençals,2009,74.5
73,la Verneda i la Pau,2009,112.3
