Codi_Barri,Nom_Barri,Any,Superfície (ha)
29,el Coll,2020,35.3
30,la Salut,2020,64.8
31,la Vila de Gràcia,2020,132.1
32,el Camp d'en Grassot i Gràcia Nova,2020,65.1
33,el Baix Guinardó,2020,56.2
34,Can Baró,2020,38.4
35,el Guinardó,2020,130.9
36,la Font d'en Fargues,2020,65.7
37,el Carmel,2020,94.0
38,la Teixonera,2020,33.8
39,Sant Genís dels Agudells,2020,168.1
40,Montbau,2020,205.5
41,la Vall d'Hebron,2020,74.5
42,la Clota,2020,17.8
43,Horta,2020,307.0
44,Vilapicina i la Torre Llobeta,2020,56.4
45,Porta,2020,83.7
46,el Turó de la Peira,2020,35.4
47,Can Peguera,2020,11.9
48,la Guineueta,2020,61.2
49,Canyelles,2020,79.0
50,les Roquetes,2020,64.3
51,Verdun,2020,23.7
52,la Prosperitat,2020,59.1
53,la Trinitat Nova,2020,57.7
54,Torre Baró,2020,174.2
55,Ciutat Meridiana,2020,37.7
56,Vallbona,2020,61.4
57,la Trinitat Vella,2020,80.8
58,Baró de Viver,2020,23.0
59,el Bon Pastor,2020,186.8
60,Sant Andreu,2020,186.7
61,la Sagrera,2020,98.6
62,el Congrés i els Indians,2020,40.9
63,Navas,2020,42.4
64,el Camp de l'Arpa del Clot,2020,74.1
65,el Clot,2020,69.7
66,el Parc i la Llacuna del Poblenou,2020,112.2
67,la Vila Olímpica del Poblenou,2020,92.5
68,el Poblenou,2020,156.7
69,Diagonal Mar i el Front Marítim del Poblenou,2020,122.7
70,el Besòs i el Maresme,2020,120.9
71,Provençals del Poblenou,2020,108.6
72,Sant Martí de Provençals,2020,73.4
73,la Verneda i la Pau,2020,113.0
1,el Raval,2019,110.0
2,el Barri Gòtic,2019,81.6
3,la Barceloneta,2019,109.5
4,"Sant Pere, Santa Caterina i la Ribera",2019,111.0
5,el Fort Pienc,2019,92.9
6,la Sagrada Família,2019,104.2
7,la Dreta de l'Eixample,2019,212.0
8,l'Antiga Esquerra de l'Eixample,2019,122.8
9,la Nova Esquerra de l'Eixample,2019,134.1
10,Sant Antoni,2019,80.4
11,el Poble Sec,2019,458.5
12,la Marina del Prat Vermell,2019,1403.4
13,la Marina de Port,2019,126.9
14,la Font de la Guatlla,2019,29.7
15,Hostafrancs,2019,41.0
16,la Bordeta,2019,57.2
17,Sants - Badal,2019,41.5
18,Sants,2019,109.5
19,les Corts,2019,141.0
20,la Maternitat i Sant Ramon,2019,191.5
21,Pedralbes,2019,268.5
22,"Vallvidrera, el Tibidabo i les Planes",2019,1132.9
23,Sarrià,2019,304.7
