Codi_Barri,Id_aforament
6.0,20306
63.0,20307
7.0,20308
9.0,20309
7.0,20310
10.0,20311
9.0,20312
7.0,20313
7.0,20314
7.0,20315
7.0,20316
7.0,20317
7.0,20318
7.0,20319
7.0,20320
7.0,20321
7.0,20322
10.0,20323
10.0,20324
9.0,20325
9.0,20326
9.0,20327
9.0,20328
7.0,20329
7.0,20330
7.0,20331
6.0,20333
6.0,20334
7.0,20336
7.0,20337
7.0,20338
7.0,20339
7.0,20340
7.0,20341
7.0,20342
35.0,20346
35.0,20347
35.0,20348
35.0,20349
35.0,20351
63.0,20352
63.0,20355
63.0,20356
63.0,20357
63.0,20358
63.0,20359
63.0,20360
63.0,20363
63.0,20364
63.0,20365
63.0,20366
63.0,20367
63.0,20368
63.0,20369
10.0,20370
10.0,20371
10.0,20372
10.0,20373
65.0,30001
5.0,30002
68.0,30005
0.0,10-SMD-1
0.0,10-SMD-2
0.0,11-SMD-1
0.0,11-SMD-2
0.0,12-SMD-1
0.0,12-SMD-2
0.0,13-SMD-1
0.0,13-SMD-2
0.0,14-SMD-1
0.0,14-SMD-2
0.0,17-SMD-1
0.0,17-SMD-2
0.0,18-SMD-1
0.0,18-SMD-2
0.0,19-SMD-1
0.0,19-SMD-2
0.0,21-SMD-1
0.0,21-SMD-2
0.0,34-SMD-1
0.0,34-SMD-2
0.0,36-SMD-1
0.0,36-SMD-2
0.0,37-SMD-1
0.0,37-SMD-2
0.0,38-SMD-1
0.0,38-SMD-2
0.0,39-SMD-1
0.0,39-SMD-2
0.0,3-SMD-1
0.0,3-SMD-2
0.0,41-SMD-1
0.0,41-SMD-2
0.0,41-SMD-3
0.0,41-SMD-4
0.0,42-SMD-1
0.0,42-SMD-2
0.0,43-SMD-1
0.0,43-SMD-2
0.0,45-SMD-1
0.0,45-SMD-2
0.0,47-SMD-1
0.0,47-SMD-2
0.0,48-SMD-1
0.0,48-SMD-2
0.0,49-SMD-1
0.0,49-SMD-2
0.0,51-SMD-1
0.0,51-SMD-2
0.0,58-SMD-1
0.0,58-SMD-2
0.0,5-SMD-1
0.0,5-SMD-2
0.0,60-SMD-1
0.0,60-SMD-2
0.0,62-SMD-1
0.0,62-SMD-2
0.0,62-SMD-3
0.0,62-SMD-4
0.0,6-SMD-1
0.0,6-SMD-2
0.0,8-SMD-1
0.0,8-SMD-2
65.0, 10001
71.0, 10002
65.0, 10005
72.0, 10008
73.0, 10009
21.0, 1001
73.0, 10010
73.0, 10011
73.0, 10012
70.0, 10013
70.0, 10014
65.0, 10015
65.0, 10017
73.0, 10018
68.0, 10019
19.0, 1002
20.0, 1003
20.0, 1004
19.0, 1005
20.0, 1006
20.0, 1007
21.0, 1008
21.0, 1009
19.0, 1010
19.0, 1011
21.0, 1012
21.0, 1013
24.0, 1014
8.0, 1015
20.0, 1017
21.0, 1018
20.0, 1019
21.0, 1021
21.0, 1022
21.0, 1026
21.0, 1027
20.0, 1028
20.0, 1029
20.0, 1030
20.0, 1031
20.0, 1032
20.0, 1033
37.0, 11001
37.0, 11002
37.0, 11003
43.0, 11004
28.0, 11005
28.0, 11006
28.0, 11007
43.0, 11008
35.0, 11009
43.0, 11010
43.0, 11011
21.0, 11012
21.0, 11013
23.0, 11014
23.0, 11015
28.0, 11018
28.0, 11019
28.0, 11020
