Codi_Barri,Nom_Barri,Any,Tipus_Equipament,Indicador,Valor
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Espectadors,9372
8,l'Antiga Esquerra de l'Eixample,2022,Sales d'arts escèniques,Funcions,146
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,447510
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,129029
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,38
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,137072
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,461
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Aforament,232044
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Entrades_Venudes,109443
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Espectacles,39
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Espectadors,117437
4,"Sant Pere, Santa Caterina i la Ribera",2022,Sales d'arts escèniques,Funcions,356
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,241983
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,97197
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,27
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,105540
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,357
1,el Raval,2022,Sales d'arts escèniques,Aforament,27081
1,el Raval,2022,Sales d'arts escèniques,Entrades_Venudes,8118
1,el Raval,2022,Sales d'arts escèniques,Espectacles,11
1,el Raval,2022,Sales d'arts escèniques,Espectadors,9456
1,el Raval,2022,Sales d'arts escèniques,Funcions,198
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Aforament,10228
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Entrades_Venudes,3680
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Espectacles,22
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Espectadors,4840
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Funcions,155
6,la Sagrada Família,2022,Sales d'arts escèniques,Aforament,32734
6,la Sagrada Família,2022,Sales d'arts escèniques,Entrades_Venudes,8858
6,la Sagrada Família,2022,Sales d'arts escèniques,Espectacles,25
6,la Sagrada Família,2022,Sales d'arts escèniques,Espectadors,11398
6,la Sagrada Família,2022,Sales d'arts escèniques,Funcions,227
6,la Sagrada Família,2022,Sales d'arts escèniques,Aforament,4370
6,la Sagrada Família,2022,Sales d'arts escèniques,Entrades_Venudes,2037
6,la Sagrada Família,2022,Sales d'arts escèniques,Espectacles,9
6,la Sagrada Família,2022,Sales d'arts escèniques,Espectadors,2559
6,la Sagrada Família,2022,Sales d'arts escèniques,Funcions,110
1,el Raval,2022,Sales d'arts escèniques,Aforament,174512
1,el Raval,2022,Sales d'arts escèniques,Entrades_Venudes,108624
1,el Raval,2022,Sales d'arts escèniques,Espectacles,15
1,el Raval,2022,Sales d'arts escèniques,Espectadors,111946
1,el Raval,2022,Sales d'arts escèniques,Funcions,341
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,39273
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,27588
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,14
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,31064
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,19
1,el Raval,2022,Sales d'arts escèniques,Aforament,22471
1,el Raval,2022,Sales d'arts escèniques,Entrades_Venudes,15847
1,el Raval,2022,Sales d'arts escèniques,Espectacles,3
1,el Raval,2022,Sales d'arts escèniques,Espectadors,16944
1,el Raval,2022,Sales d'arts escèniques,Funcions,105
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,60
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,42
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,1
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,60
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,10
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,8191
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,4818
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,16
1,el Raval,2022,Sales d'arts escèniques,Aforament,182582
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,6244
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,88
