CODI_BARRI,NOM_BARRI,DATA_EXPLO,TAULES
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,7
19.0,les Corts,2024-02-07T00:00:00,8
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,9
33.0,el Baix Guinardó,2024-02-07T00:00:00,2
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,6
10.0,Sant Antoni,2024-02-07T00:00:00,3
19.0,les Corts,2024-02-07T00:00:00,3
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,2
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,2
10.0,Sant Antoni,2024-02-07T00:00:00,12
27.0,el Putxet i el Farró,2024-02-07T00:00:00,8
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,2
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,4
10.0,Sant Antoni,2024-02-07T00:00:00,5
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,5
1.0,el Raval,2024-02-07T00:00:00,2
65.0,el Clot,2024-02-07T00:00:00,3
5.0,el Fort Pienc,2024-02-07T00:00:00,3
32.0,el Camp d'en Grassot i Gràcia Nova,2024-02-07T00:00:00,4
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,2
65.0,el Clot,2024-02-07T00:00:00,1
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,1
68.0,el Poblenou,2024-02-07T00:00:00,2
73.0,la Verneda i la Pau,2024-02-07T00:00:00,8
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,4
10.0,Sant Antoni,2024-02-07T00:00:00,3
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,3
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,1
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,3
11.0,el Poble Sec,2024-02-07T00:00:00,3
10.0,Sant Antoni,2024-02-07T00:00:00,1
24.0,les Tres Torres,2024-02-07T00:00:00,4
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,10
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,4
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,2
19.0,les Corts,2024-02-07T00:00:00,6
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,2
32.0,el Camp d'en Grassot i Gràcia Nova,2024-02-07T00:00:00,5
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,5
19.0,les Corts,2024-02-07T00:00:00,10
10.0,Sant Antoni,2024-02-07T00:00:00,3
33.0,el Baix Guinardó,2024-02-07T00:00:00,3
60.0,Sant Andreu,2024-02-07T00:00:00,12
15.0,Hostafrancs,2024-02-07T00:00:00,14
63.0,Navas,2024-02-07T00:00:00,3
15.0,Hostafrancs,2024-02-07T00:00:00,5
13.0,la Marina de Port,2024-02-07T00:00:00,3
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,3
23.0,Sarrià,2024-02-07T00:00:00,10
44.0,Vilapicina i la Torre Llobeta,2024-02-07T00:00:00,8
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,12
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,3
6.0,la Sagrada Família,2024-02-07T00:00:00,4
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,4
15.0,Hostafrancs,2024-02-07T00:00:00,3
60.0,Sant Andreu,2024-02-07T00:00:00,7
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,8
73.0,la Verneda i la Pau,2024-02-07T00:00:00,3
69.0,Diagonal Mar i el Front Marítim del Poblenou,2024-02-07T00:00:00,3
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,2
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,4
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,3
10.0,Sant Antoni,2024-02-07T00:00:00,10
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,8
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,12
31.0,la Vila de Gràcia,2024-02-07T00:00:00,6
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,3
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,2
63.0,Navas,2024-02-07T00:00:00,6
19.0,les Corts,2024-02-07T00:00:00,16
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,12
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,3
10.0,Sant Antoni,2024-02-07T00:00:00,3
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,8
60.0,Sant Andreu,2024-02-07T00:00:00,12
63.0,Navas,2024-02-07T00:00:00,3
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,3
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,6
10.0,Sant Antoni,2024-02-07T00:00:00,6
10.0,Sant Antoni,2024-02-07T00:00:00,4
6.0,la Sagrada Família,2024-02-07T00:00:00,4
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,2
10.0,Sant Antoni,2024-02-07T00:00:00,3
35.0,el Guinardó,2024-02-07T00:00:00,5
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,2
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,2
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,12
10.0,Sant Antoni,2024-02-07T00:00:00,3
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,7
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,2
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,2
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,12
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,4
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,4
19.0,les Corts,2024-02-07T00:00:00,5
18.0,Sants,2024-02-07T00:00:00,4
68.0,el Poblenou,2024-02-07T00:00:00,3
61.0,la Sagrera,2024-02-07T00:00:00,10
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,4
19.0,les Corts,2024-02-07T00:00:00,3
10.0,Sant Antoni,2024-02-07T00:00:00,8
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,3
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,10
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,4
63.0,Navas,2024-02-07T00:00:00,4
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,6
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,12
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,7
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,6
10.0,Sant Antoni,2024-02-07T00:00:00,4
53.0,la Trinitat Nova,2024-02-07T00:00:00,1
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,4
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,6
11.0,el Poble Sec,2024-02-07T00:00:00,10
11.0,el Poble Sec,2024-02-07T00:00:00,6
62.0,el Congrés i els Indians,2024-02-07T00:00:00,5
10.0,Sant Antoni,2024-02-07T00:00:00,4
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,3
70.0,el Besòs i el Maresme,2024-02-07T00:00:00,3
11.0,el Poble Sec,2024-02-07T00:00:00,6
11.0,el Poble Sec,2024-02-07T00:00:00,6
11.0,el Poble Sec,2024-02-07T00:00:00,4
13.0,la Marina de Port,2024-02-07T00:00:00,6
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,6
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,12
13.0,la Marina de Port,2024-02-07T00:00:00,3
11.0,el Poble Sec,2024-02-07T00:00:00,13
18.0,Sants,2024-02-07T00:00:00,5
33.0,el Baix Guinardó,2024-02-07T00:00:00,6
15.0,Hostafrancs,2024-02-07T00:00:00,6
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,4
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,2
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,8
13.0,la Marina de Port,2024-02-07T00:00:00,5
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,7
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,3
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,3
61.0,la Sagrera,2024-02-07T00:00:00,12
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,2
6.0,la Sagrada Família,2024-02-07T00:00:00,2
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,4
5.0,el Fort Pienc,2024-02-07T00:00:00,2
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,2
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,3
32.0,el Camp d'en Grassot i Gràcia Nova,2024-02-07T00:00:00,3
67.0,la Vila Olímpica del Poblenou,2024-02-07T00:00:00,4
21.0,Pedralbes,2024-02-07T00:00:00,2
32.0,el Camp d'en Grassot i Gràcia Nova,2024-02-07T00:00:00,3
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,4
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,3
65.0,el Clot,2024-02-07T00:00:00,9
10.0,Sant Antoni,2024-02-07T00:00:00,3
19.0,les Corts,2024-02-07T00:00:00,12
61.0,la Sagrera,2024-02-07T00:00:00,3
19.0,les Corts,2024-02-07T00:00:00,7
61.0,la Sagrera,2024-02-07T00:00:00,5
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,3
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,4
23.0,Sarrià,2024-02-07T00:00:00,12
52.0,la Prosperitat,2024-02-07T00:00:00,6
32.0,el Camp d'en Grassot i Gràcia Nova,2024-02-07T00:00:00,2
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,3
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,4
23.0,Sarrià,2024-02-07T00:00:00,10
19.0,les Corts,2024-02-07T00:00:00,6
19.0,les Corts,2024-02-07T00:00:00,6
67.0,la Vila Olímpica del Poblenou,2024-02-07T00:00:00,4
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,4
19.0,les Corts,2024-02-07T00:00:00,5
21.0,Pedralbes,2024-02-07T00:00:00,4
21.0,Pedralbes,2024-02-07T00:00:00,15
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,7
51.0,Verdun,2024-02-07T00:00:00,5
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,2
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,8
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,4
17.0,Sants - Badal,2024-02-07T00:00:00,12
13.0,la Marina de Port,2024-02-07T00:00:00,2
6.0,la Sagrada Família,2024-02-07T00:00:00,2
3.0,la Barceloneta,2024-02-07T00:00:00,10
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,2
65.0,el Clot,2024-02-07T00:00:00,1
19.0,les Corts,2024-02-07T00:00:00,4
19.0,les Corts,2024-02-07T00:00:00,2
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,8
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,6
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,4
2.0,el Barri Gòtic,2024-02-07T00:00:00,6
21.0,Pedralbes,2024-02-07T00:00:00,7
63.0,Navas,2024-02-07T00:00:00,3
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,8
10.0,Sant Antoni,2024-02-07T00:00:00,6
32.0,el Camp d'en Grassot i Gràcia Nova,2024-02-07T00:00:00,7
32.0,el Camp d'en Grassot i Gràcia Nova,2024-02-07T00:00:00,6
19.0,les Corts,2024-02-07T00:00:00,3
19.0,les Corts,2024-02-07T00:00:00,6
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,5
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,12
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,4
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,6
68.0,el Poblenou,2024-02-07T00:00:00,3
19.0,les Corts,2024-02-07T00:00:00,4
19.0,les Corts,2024-02-07T00:00:00,3
41.0,la Vall d'Hebron,2024-02-07T00:00:00,8
32.0,el Camp d'en Grassot i Gràcia Nova,2024-02-07T00:00:00,3
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,4
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,4
66.0,el Parc i la Llacuna del Poblenou,2024-02-07T00:00:00,5
48.0,la Guineueta,2024-02-07T00:00:00,10
52.0,la Prosperitat,2024-02-07T00:00:00,6
18.0,Sants,2024-02-07T00:00:00,3
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,2
25.0,Sant Gervasi - la Bonanova,2024-02-07T00:00:00,4
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,41
4.0,"Sant Pere, Santa Caterina i la Ribera",2024-02-07T00:00:00,4
33.0,el Baix Guinardó,2024-02-07T00:00:00,4
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,2
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,2
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,1
35.0,el Guinardó,2024-02-07T00:00:00,4
21.0,Pedralbes,2024-02-07T00:00:00,8
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,3
3.0,la Barceloneta,2024-02-07T00:00:00,14
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,8
19.0,les Corts,2024-02-07T00:00:00,3
19.0,les Corts,2024-02-07T00:00:00,3
19.0,les Corts,2024-02-07T00:00:00,6
19.0,les Corts,2024-02-07T00:00:00,6
24.0,les Tres Torres,2024-02-07T00:00:00,3
10.0,Sant Antoni,2024-02-07T00:00:00,4
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,4
19.0,les Corts,2024-02-07T00:00:00,4
20.0,la Maternitat i Sant Ramon,2024-02-07T00:00:00,6
19.0,les Corts,2024-02-07T00:00:00,6
19.0,les Corts,2024-02-07T00:00:00,8
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,6
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,5
61.0,la Sagrera,2024-02-07T00:00:00,6
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,3
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,3
60.0,Sant Andreu,2024-02-07T00:00:00,9
51.0,Verdun,2024-02-07T00:00:00,2
