Latitud,Titularitat,Codi_Districte,Tipus_Us,Notes_Equipament,Nom_Districte,Notes_Dades,Nom_Barri,Indicador,Tipus_Equipament,Nom_Equipament,Valor,Codi_Barri,Ambit,_id,Any,Longitud,TipusGeneral,TipusEquipament,Equipament
41.3913381,Titularitat privada,2,Centres patrimonials,,Eixample,,la Dreta de l'Eixample,Visitants,Espais d'interès patrimonial,Casa Amatller,37005,7,Història i memòria,11,2023,2.16468108,,,
41.3916967,Titularitat privada,2,Centres patrimonials,,Eixample,,la Dreta de l'Eixample,Visitants,Espais d'interès patrimonial,Casa Batlló,1567160,7,Història i memòria,12,2023,2.1649608,,,
41.414781293,Titularitat privada,6,Centres patrimonials,,Gràcia,,la Salut,Visitants,Espais d'interès patrimonial,Casa Museu Gaudí,123762,30,Història i memòria,13,2023,2.155046761,,,
41.4036093,Titularitat privada,6,Centres patrimonials,,Gràcia,,la Vila de Gràcia,Num_Exposicions_Temporals,Espais d'interès patrimonial,Casa Vicens,2,31,Història i memòria,14,2023,2.1512308,,,
41.4036093,Titularitat privada,6,Centres patrimonials,,Gràcia,,la Vila de Gràcia,Visitants,Espais d'interès patrimonial,Casa Vicens,200052,31,Història i memòria,15,2023,2.1512308,,,
41.4036093,Titularitat privada,6,Centres patrimonials,,Gràcia,,la Vila de Gràcia,Visites_Exposicions_Temporals,Espais d'interès patrimonial,Casa Vicens,197407,31,Història i memòria,16,2023,2.1512308,,,
41.3675648,Ajuntament de Barcelona,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Num_Exposicions_Temporals,Museus i col·leccions,Castell de Montjuïc,7,11,Història i memòria,17,2023,2.1685315,,,
41.3675648,Ajuntament de Barcelona,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Visitants,Museus i col·leccions,Castell de Montjuïc,750864,11,Història i memòria,18,2023,2.1685315,,,
41.3675648,Ajuntament de Barcelona,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Visites_Exposicions_Temporals,Museus i col·leccions,Castell de Montjuïc,514304,11,Història i memòria,19,2023,2.1685315,,,
41.383883057,Consorci o fundació amb presència administracions públiques,1,Centres d'exposicions,,Ciutat Vella,,el Raval,Num_Exposicions_Temporals,Centres d'exposicions,Centre de Cultura Contemporània de Barcelona. CCCB,4,1,Arts visuals,20,2023,2.166795152,,,
