Assistents_fora_de_Barcelona,Edicio,Titularitat,DataInici,DataFi,Assistents_a_Barcelona,Notes_Dades,Espai,Ambit,NomDelFestival,Organitzador,_id,Any,Tipus,Assistents,Nota
2775,31,Titularitat privada,2023-05-31T00:00:00,2023-12-07T00:00:00,4056,,Diversos espais de la ciutat,Audiovisuals,Mostra Internacional de Films de Dones de Barcelona,Drac Màgic,57,2023,Festivals,,
210,,Titularitat privada,2023-08-06T00:00:00,2023-08-18T00:00:00,4409,,La Pedrera,Música,La Pedrera Jazz,Fund. Catalunya - La Pedrera,59,2023,Festivals,,
,28,Titularitat privada,2023-08-06T00:00:00,2023-06-18T00:00:00,5482,,Diversos espais de la ciutat,Audiovisuals,Mostra FIRE!! de cinema LGTBI de Barcelona,Casal Lambda,60,2023,Festivals,,
,14,Titularitat privada,2023-09-06T00:00:00,2023-11-06T00:00:00,,,Fossat del Mercat de Sant Antoni,Lletres,Arts Libris Barcelona,Raíña Lupa Produccions,61,2023,Fires,,
,9,Titularitat privada,2023-09-06T00:00:00,2023-11-06T00:00:00,960,,Diversos espais de la ciutat,Arts escèniques,Festival Pindoles,Cultura Tangent,62,2023,Festivals,,
,9,Titularitat privada,2023-09-06T00:00:00,2023-11-06T00:00:00,4531,,Diversos espais de la ciutat,Arts escèniques,L'Altre Festival,Assoc. Socio Cultural l'Altre Festival,63,2023,Festivals,,
,22,Titularitat privada,2023-09-06T00:00:00,2023-11-06T00:00:00,250,,Diversos espais de la ciutat,Audiovisuals,Mostra de Curtmetratges Dr. Mabuse,La Jarra Azul,64,2023,Festivals,,
,5,Titularitat privada,2023-09-06T00:00:00,2023-10-06T00:00:00,34000,,Parc del Fòrum,Música,Share Festival,EventoXtra,65,2023,Festivals,,
,13,Titularitat privada,2023-10-06T00:00:00,2023-10-06T00:00:00,6600,,Diversos espais de la ciutat,Música,SIMFONIC,Assoc. SIMFONIC,66,2023,Festivals,,
,2,Mixta,2023-06-14T00:00:00,2023-06-18T00:00:00,1642,,Diversos espais de la ciutat,Lletres,KMAmèrica. Festival de Literatura Llatinoamericana de Barcelona,Casa Amèrica Catalunya i Biblioteques de Barcelona,67,2023,Festivals,,
,30,Titularitat privada,2023-06-14T00:00:00,2023-06-18T00:00:00,119628,,Diversos espais de la ciutat,Música,Sónar. Festival Internacional de Música Avançada i Art Multimèdia,Advanced Music,68,2023,Festivals,,
,5,Titularitat privada,2023-06-15T00:00:00,2023-06-18T00:00:00,,,Poble Espanyol ,Música,Off Sónar,Centris Events,69,2023,Festivals,,
,24,Ajuntament de Barcelona,2023-06-16T00:00:00,2023-06-18T00:00:00,7950,,Districte de les Corts,Arts escèniques,Circorts,Districte de les Corts. Ajuntament de Barcelona,70,2023,Festivals,,
,9,Titularitat privada,2023-06-17T00:00:00,2023-06-18T00:00:00,,,Moll de la Fusta de Barcelona,Multidisciplinaris i altres,Festival Matsuri,Assoc. de Cultura Japonesa,71,2023,Festivals,,
164,11,Titularitat privada,2023-06-25T00:00:00,2023-09-29T00:00:00,1949,,Diversos espais de la ciutat,Música,Festival Talent,Fund. Privada Taller de Músics,72,2023,Festivals,,
,1,Titularitat privada,2023-06-27T00:00:00,2023-07-26T00:00:00,38000,,Jardins del Palau de Pedralbes,Música,Les Nits de Barcelona,Clipper's Live,73,2023,Festivals,,
,10,Ajuntament de Barcelona,2023-06-27T00:00:00,2023-07-25T00:00:00,4037,,Xarxa de centres cívics,Audiovisuals,Pantalla Barcelona,Institut de Cultura. Ajuntament de Barcelona,74,2023,Festivals,,
,19,Titularitat privada,2023-06-28T00:00:00,2023-07-07T00:00:00,,,Diversos espais de la ciutat,Música,Barcelona Festival of Song,Patricia Caicedo Serrano,75,2023,Festivals,,
